ENSGALG00000000003
ENSGALG00000000004
ENSGALG00000000011
ENSGALG00000000013
ENSGALG00000000014
ENSGALG00000000017
ENSGALG00000000019
ENSGALG00000000033
ENSGALG00000000038
ENSGALG00000000040
ENSGALG00000000044
ENSGALG00000000048
ENSGALG00000000049
ENSGALG00000000054
ENSGALG00000000055
ENSGALG00000000056
ENSGALG00000000059
ENSGALG00000000062
ENSGALG00000000067
ENSGALG00000000071
ENSGALG00000000075
ENSGALG00000000076
ENSGALG00000000081
ENSGALG00000000085
ENSGALG00000000086
ENSGALG00000000091
ENSGALG00000000094
ENSGALG00000000098
ENSGALG00000000099
ENSGALG00000000102
ENSGALG00000000104
ENSGALG00000000106
ENSGALG00000000107
ENSGALG00000000109
ENSGALG00000000112
ENSGALG00000000113
ENSGALG00000000114
ENSGALG00000000115
ENSGALG00000000117
ENSGALG00000000119
ENSGALG00000000120
ENSGALG00000000122
ENSGALG00000000123
ENSGALG00000000129
ENSGALG00000000132
ENSGALG00000000136
ENSGALG00000000137
ENSGALG00000000141
ENSGALG00000000142
ENSGALG00000000146
ENSGALG00000000149
ENSGALG00000000150
ENSGALG00000000151
ENSGALG00000000154
ENSGALG00000000155
ENSGALG00000000156
ENSGALG00000000158
ENSGALG00000000161
ENSGALG00000000162
ENSGALG00000000164
ENSGALG00000000165
ENSGALG00000000166
ENSGALG00000000168
ENSGALG00000000169
ENSGALG00000000171
ENSGALG00000000172
ENSGALG00000000177
ENSGALG00000000178
ENSGALG00000000181
ENSGALG00000000182
ENSGALG00000000183
ENSGALG00000000184
ENSGALG00000000186
ENSGALG00000000187
ENSGALG00000000188
ENSGALG00000000189
ENSGALG00000000193
ENSGALG00000000195
ENSGALG00000000196
ENSGALG00000000201
ENSGALG00000000206
ENSGALG00000000208
ENSGALG00000000209
ENSGALG00000000215
ENSGALG00000000217
ENSGALG00000000218
ENSGALG00000000220
ENSGALG00000000221
ENSGALG00000000223
ENSGALG00000000225
ENSGALG00000000226
ENSGALG00000000227
ENSGALG00000000230
ENSGALG00000000231
ENSGALG00000000233
ENSGALG00000000234
ENSGALG00000000235
ENSGALG00000000238
ENSGALG00000000239
ENSGALG00000000241
ENSGALG00000000242
ENSGALG00000000243
ENSGALG00000000244
ENSGALG00000000247
ENSGALG00000000249
ENSGALG00000000251
ENSGALG00000000252
ENSGALG00000000253
ENSGALG00000000255
ENSGALG00000000258
ENSGALG00000000259
ENSGALG00000000264
ENSGALG00000000270
ENSGALG00000000271
ENSGALG00000000272
ENSGALG00000000273
ENSGALG00000000274
ENSGALG00000000275
ENSGALG00000000276
ENSGALG00000000277
